species,date_of_search,family,lon,lat,year,country
Leopardus geoffroyi,2021-05-04,Felidae,-67.913444,-32.318385,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-54.24777,-29.26927,2020,BR
Leopardus geoffroyi,2021-05-04,Felidae,-61.005873,-31.233629,2002,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.063013,-31.387137,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.860434,-31.633294,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-67.581792,-30.204292,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.842241,-31.646304,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.851243,-31.971987,2020,UY
Leopardus geoffroyi,2021-05-04,Felidae,-61.151274,-30.207895,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-68.637917,-34.281338,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-65.249133,-44.048496,2011,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.196157,-28.544701,2016,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.100067,-28.449393,2011,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.213364,-28.54291,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.173456,-28.536053,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.892878,-34.216749,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.610187,-37.880343,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.878127,-31.398978,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.671937,-37.586645,2018,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.760808,-37.747373,2016,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.734121,-36.597613,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.734164,-36.595994,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-61.100417,-31.387164,2017,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.733649,-36.596924,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.173456,-28.536053,2012,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.933878,-36.544511,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.198953,-28.544812,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.203013,-28.548501,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.199442,-28.546232,2008,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.308716,-34.796143,2020,UY
Leopardus geoffroyi,2021-05-04,Felidae,-53.752056,-32.134864,2015,UY
Leopardus geoffroyi,2021-05-04,Felidae,-53.752056,-32.134864,2015,UY
Leopardus geoffroyi,2021-05-04,Felidae,-53.752056,-32.134864,2015,UY
Leopardus geoffroyi,2021-05-04,Felidae,-65.088558,-43.371143,2011,AR
Leopardus geoffroyi,2021-05-04,Felidae,-58.713409,-38.576212,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.185344,-28.536002,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.773219,-36.305568,2009,AR
Leopardus geoffroyi,2021-05-04,Felidae,-64.768714,-31.993058,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.195908,-28.545999,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-64.099988,-42.703395,2012,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.199159,-28.546224,2007,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.144555,-23.312708,1973,PY
Leopardus geoffroyi,2021-05-04,Felidae,-64.296326,-28.024682,2014,AR
Leopardus geoffroyi,2021-05-04,Felidae,-57.19594,-28.546227,2015,AR
Leopardus geoffroyi,2021-05-04,Felidae,-64.461863,-31.540482,2020,AR
Leopardus geoffroyi,2021-05-04,Felidae,-59.583483,-35.027817,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-60.282817,-29.454209,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-56.728022,-27.51686,2011,AR
Leopardus geoffroyi,2021-05-04,Felidae,-64.786531,-25.134122,2019,AR
Leopardus geoffroyi,2021-05-04,Felidae,-64.524031,-31.534633,2019,AR
