family,species,lon,lat,year,country
Felidae,Leopardus tigrinus,-77.009096,-6.276945,2017,PE
Felidae,Leopardus tigrinus,-77.114359,-6.316287,2017,PE
Felidae,Leopardus tigrinus,-77.113795,-6.11408,2017,PE
Felidae,Leopardus tigrinus,-77.013748,-6.082156,2017,PE
Felidae,Leopardus tigrinus,-77.01269,-6.333351,2017,PE
Felidae,Leopardus tigrinus,-77.141353,-6.147919,2017,PE
Felidae,Leopardus tigrinus,-77.131957,-6.211336,2017,PE
Felidae,Leopardus tigrinus,-77.165857,-6.390815,2017,PE
Felidae,Leopardus tigrinus,-77.055606,-6.310482,2017,PE
Felidae,Leopardus tigrinus,-77.069074,-6.39377,2017,PE
Felidae,Leopardus tigrinus,-77.121023,-6.243201,2017,PE
Felidae,Leopardus tigrinus,-78.74142,0.281768,2015,EC
Felidae,Leopardus tigrinus,-48.17342413898394,-21.742891650351243,2013,BR
Felidae,Leopardus tigrinus,-75.710278,4.090194,2017,CO
Felidae,Leopardus tigrinus,-75.388889,5.229442,NA,CO
Felidae,Leopardus tigrinus,-75.62,4.671667,NA,CO
Felidae,Leopardus tigrinus,-37.833332,-5.666667,NA,BR
Felidae,Leopardus geoffroyi,-67.95,-34.05,NA,AR
Felidae,Leopardus geoffroyi,-67.95,-34.05,NA,AR
Felidae,Leopardus geoffroyi,-67.95,-34.05,NA,AR
Felidae,Leopardus geoffroyi,-67.95,-34.05,NA,AR
Felidae,Leopardus tigrinus,-73.38045,4.704226,2014,CO
Felidae,Leopardus tigrinus,-74.01258,4.79882,2016,CO
Felidae,Leopardus tigrinus,-73.98954,4.79384,2016,CO
Felidae,Leopardus tigrinus,-73.98954,4.79384,2016,CO
Felidae,Leopardus tigrinus,-73.98105,4.80113,2016,CO
Felidae,Leopardus tigrinus,-74.02561,4.81822,2016,CO
Felidae,Leopardus tigrinus,-74.002222,4.789222,2016,CO
Felidae,Leopardus geoffroyi,-65.41667,-24.03333,1899,AR
Felidae,Leopardus tigrinus,-76.0652,3.546531,2014,CO
Felidae,Leopardus tigrinus,-76.173442,3.396753,2014,CO
Felidae,Leopardus tigrinus,-76.043867,3.58455,2014,CO
Felidae,Leopardus tigrinus,-76.12805,3.869506,2014,CO
Felidae,Leopardus tigrinus,-77.248056,5.6805,2013,CO
Felidae,Leopardus guigna,-73.912664,-42.647971,2017,CL
Felidae,Leopardus tigrinus,-76.695467,5.097631,1983,CO
Felidae,Leopardus tigrinus,-75.393133,5.008811,2003,CO
Felidae,Leopardus tigrinus,-75.025971,5.502466,2001,CO
Felidae,Leopardus geoffroyi,-65.597159,-37.969601,NA,AR
Felidae,Leopardus geoffroyi,-65.597159,-37.969601,NA,AR
Felidae,Leopardus geoffroyi,-64.792924,-28.370212,NA,AR
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
Felidae,Leopardus tigrinus,-73.794722,6.05639,2016,CO
