"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","preparationType","individualCount","county","coordinatePrecision","sex","geoFlag","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters"
"41","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1827","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2012","09","23",NA,"Brasil","Rio Grande do Sul","BR290","-52.083444","-30.140472","52° 05' 00.4''W","30°08' 25.7''S",NA,NA,NA,"Minas do Leão",NA,"Fêmea",NA,NA,NA,NA,NA,NA,NA
"42","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1830","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2013","07","31",NA,"Brasil","Rio Grande do Sul","Br 386","-53.417222","-27.415278","53° 25' 02''W","27°24' 55''S",NA,NA,NA,"Frederico Westphalen",NA,"Fêmea",NA,NA,NA,NA,NA,NA,NA
"43","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1880","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2013","07","31",NA,"Brasil","Rio Grande do Sul","RS 158","-53.59769","-28.77884","-053.59769","-28.77884",NA,NA,NA,"Curz Alta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1842","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2013","07","04",NA,"Brasil","Rio Grande do Sul","Estrada do Conde",NA,"-30.02655","-5130999","-30.02655",NA,NA,NA,"Guaíba",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"45","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1811","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2012","07","15",NA,"Brasil","Santa Catarina",NA,NA,"-28.206667","48' 40' 17''W","28°12' 24''S",NA,NA,NA,"Praia da Ribanceira,Imbituba",NA,"Macho",NA,NA,NA,NA,NA,NA,NA
"46","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","708","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1996","07","06",NA,"Brasil","Rio Grande do Sul","Arroio Canoas","-51.4956016540527","-29.3768997192383",NA,NA,NA,NA,NA,"Barão","16855",NA,"auto",NA,NA,NA,NA,NA,NA
"47","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","843","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2002","01","16",NA,"Brasil","Rio Grande do Sul","Zoológico de Cachoeira do Sul","-52.8939018249512","-30.0391998291016",NA,NA,NA,NA,NA,"Cachoeira do Sul","71201","Fêmea","auto",NA,NA,NA,NA,NA,NA
"48","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","793","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2002","01","08",NA,"Brasil","Rio Grande do Sul","Zoológico de Cachoeira do Sul","-52.8939018249512","-30.0391998291016",NA,NA,NA,NA,NA,"Cachoeira do Sul","71201","Fêmea","auto",NA,NA,NA,NA,NA,NA
"49","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","1847","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"2013","02","22",NA,"Brasil","Rio Grande do Sul","Fazenda Souza","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,NA,"Caxias do Sul","49662","Fêmea","auto",NA,NA,NA,NA,NA,NA
"50","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","2024","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,NA,NA,"1979","09","08",NA,"Brasil","Rio Grande do Sul","Fazenda Bela Vista","-52.521900177002","-30.5438995361328",NA,NA,NA,NA,NA,"Encruzilhada do Sul","62084",NA,"auto",NA,NA,NA,NA,NA,NA
